id,rectimestamp,sendtimestamp,Delay millisecond,longitude,latitude,altitude,speed,Key star Number,msgCnt,TotalRcvMsgCount,TotalLostMsgCount,AID,Source_Layer2-ID,Dest MAC ID,Priority,Power(dBm),RSSI(dBm),SINR(dB),CBR(%),MCS,RSRP(dBm),EARFCN,Band,TB Size(bit),Modulation,Type,Label,attack_type,SPAT
58,1.70E+12,1.70E+12,-239.226,116.491529,39.729111,23,8.741,46,59.63,696E636830303000,43,58,87,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,normal,SPAT
59,1.70E+12,1.70E+12,-216.487,116.491535,39.729113,23,8.778,46,58.93,696E636830303000,45,59,88,3619,8000001,7,8,-122,-92,0,2,5,-122,55140,47,4264,QPSK,normal,SPAT
60,1.70E+12,1.70E+12,-239.242,116.491537,39.729115,23,8.778,46,58.93,,46,60,88,3619,8000001,7,8,-122,-92,0,2,5,-122,55140,47,4264,QPSK,normal,SPAT
61,1.70E+12,1.70E+12,-238.984,116.49154,39.729116,23,8.741,46,59.63,696E636830303000,47,61,88,3619,8000001,7,8,-121,-91,2,1,5,-121,55140,47,4264,QPSK,normal,SPAT
62,1.70E+12,1.70E+12,-223.044,116.491567,39.729127,22.9,8.76,46,60.3,696E636830303000,57,62,97,3619,8000001,7,8,-117,-89,5,1,5,-117,55140,47,4264,QPSK,normal,SPAT
63,1.70E+12,1.70E+12,-222.305,116.491571,39.729129,22.9,8.76,46,60.3,696E636830303000,59,63,98,3619,8000001,7,8,-119,-90,3,0,5,-119,55140,47,4264,QPSK,normal,SPAT
64,1.70E+12,1.70E+12,-240.87,116.491572,39.729129,22.8,8.741,47,57.44,,60,64,98,3619,8000001,7,8,-119,-90,3,0,5,-119,55140,47,4264,QPSK,normal,SPAT
65,1.70E+12,1.70E+12,-209.547,116.491581,39.729134,22.9,8.76,46,60.3,696E636830303000,63,65,100,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,normal,SPAT
66,1.70E+12,1.70E+12,-221.507,116.491584,39.729135,22.9,8.76,46,60.3,696E636830303000,65,66,101,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,normal,SPAT
67,1.70E+12,1.70E+12,-228.641,116.491587,39.729137,22.9,8.76,46,60.3,,66,67,101,3619,8000001,7,8,-124,-93,-1,1,5,-124,55140,47,4264,QPSK,normal,SPAT
68,1.70E+12,1.70E+12,-233.251,116.491589,39.729138,22.8,8.741,47,57.44,696E636830303000,67,68,101,3619,8000001,7,8,-120,-91,2,1,5,-120,55140,47,4264,QPSK,normal,SPAT
69,1.70E+12,1.70E+12,-236.147,116.491591,39.729139,22.8,8.741,47,57.44,696E636830303000,68,69,101,3619,8000001,7,8,-123,-92,-1,1,5,-123,55140,47,4264,QPSK,normal,SPAT
70,1.70E+12,1.70E+12,-236.467,116.491594,39.72914,22.7,8.778,47,57.45,696E636830303000,69,70,101,3619,8000001,7,8,-120,-91,2,1,5,-120,55140,47,4264,QPSK,normal,SPAT
71,1.70E+12,1.70E+12,-209.635,116.491609,39.729147,22.8,8.741,47,57.44,696E636830303000,75,71,106,3619,8000001,7,8,-123,-92,-1,0,5,-123,55140,47,4264,QPSK,normal,SPAT
72,1.70E+12,1.70E+12,-222.617,116.491614,39.72915,22.8,8.741,47,57.44,696E636830303000,77,72,107,3619,8000001,7,8,-122,-92,0,2,5,-122,55140,47,4264,QPSK,normal,SPAT
73,1.70E+12,1.70E+12,-240.73,116.491616,39.72915,22.7,8.797,47,57.67,,78,73,107,3619,8000001,7,8,-120,-91,3,2,5,-120,55140,47,4264,QPSK,normal,SPAT
74,1.70E+12,1.70E+12,-220.176,116.49162,39.729152,22.7,8.797,47,57.67,696E636830303000,80,74,108,3619,8000001,7,8,-122,-91,0,1,5,-122,55140,47,4264,QPSK,normal,SPAT
75,1.70E+12,1.70E+12,-238.475,116.491623,39.729154,22.7,8.778,47,57.45,696E636830303000,81,75,108,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,normal,SPAT
76,1.70E+12,1.70E+12,-234.024,116.491625,39.729155,22.7,8.778,47,57.45,696E636830303000,82,76,108,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,normal,SPAT
77,1.70E+12,1.70E+12,-239.752,116.491627,39.729157,22.7,8.778,47,57.45,696E636830303000,83,77,108,3619,8000001,7,8,-120,-90,2,1,5,-120,55140,47,4264,QPSK,normal,SPAT
78,1.70E+12,1.70E+12,-239.476,116.491629,39.729157,22.7,8.778,47,57.45,,84,78,108,3619,8000001,7,8,-119,-90,4,1,5,-119,55140,47,4264,QPSK,normal,SPAT
79,1.70E+12,1.70E+12,-232.661,116.491633,39.72916,22.7,8.778,47,57.45,696E636830303000,85,79,108,3619,8000001,7,8,-124,-93,-1,1,5,-124,55140,47,4264,QPSK,normal,SPAT
